ID,hh_id,home_lon,home_lat,home_in_region,home_bg_2010,home_bg_2020,home_county,home_state,home_puma_2010,home_puma_2020,sample_home_lon,sample_home_lat,sample_home_bg,sample_segment,participation_group,num_days_complete_weekday,num_days_complete_weekend,num_complete_mon,num_complete_tue,num_complete_wed,num_complete_thu,num_complete_fri,num_complete_sat,num_complete_sun,num_people,num_adults,num_kids,num_students,num_workers,num_vehicles,num_bicycles,income_detailed,income_followup,res_type,residence_rent_own,bicycle_type_1,bicycle_type_2,bicycle_type_997,hh_weight,MGRA
1998,22093379,-117.16269,32.7216,1,60730056001,60730056012,6073,6,7316,7316,-117.162896,32.721464,60730056001,4,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,995,4,2,995,995,995,398.746161,2
772,22035496,-116.95844,32.62541,1,60730133141,60730133212,6073,6,7320,7320,-116.957728,32.625736,60730133141,1,1,1,0,0,0,1,0,0,0,0,2,2,0,0,1,1,1,5,995,1,2,1,0,0,937.529525,9
1384,22062120,-117.11433,32.70382,1,60730035011,60730035011,6073,6,7318,7318,-117.114336,32.703605,60730035011,3,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,2,995,2,2,995,995,995,65.037971,24
1116,22050069,-116.95954,32.79307,1,60730158021,60730158021,6073,6,7313,7313,-116.959879,32.792728,60730158021,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,995,5,2,995,995,995,36.972161,34
1061,22047752,-117.13264,32.72632,1,60730044003,60730044003,6073,6,7316,7316,-117.132647,32.726521,60730044003,2,1,1,0,0,1,0,0,0,0,0,4,2,2,0,2,2,6,7,995,1,1,1,0,0,132.488964,58
577,22026049,-117.17697,32.68428,1,60730218001,60730218001,6073,6,7310,7310,-117.17656,32.684326,60730218001,1,9,5,2,1,1,1,1,1,1,1,1,1,0,0,1,1,4,7,995,4,2,1,0,0,234.771306,59
2716,22117875,-116.94553,32.63749,1,60730133141,60730133192,6073,6,7320,7320,<Null>,<Null>,<Null>,5,1,1,0,0,0,1,0,0,0,0,3,3,0,1,1,3,3,8,995,1,1,1,0,0,97.628559,76
1179,22052795,-117.16437,32.75254,1,60730004003,60730004002,6073,6,7316,7316,-117.164128,32.752494,60730004003,2,3,5,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,4,995,3,2,995,995,995,190.426861,83
2608,22117593,-117.16472,32.75262,1,60730004003,60730004002,6073,6,7316,7316,<Null>,<Null>,<Null>,5,3,5,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,995,4,2,995,995,995,403.902172,83
433,22019483,-117.13108,32.76209,1,60730011002,60730011002,6073,6,7316,7316,-117.131421,32.762044,60730011002,1,9,2,2,1,1,0,0,0,1,1,2,2,0,0,2,2,5,7,995,3,2,1,0,0,111.562706,97
1897,22087529,-117.15406,32.70975,1,60730051002,60730051022,6073,6,7316,7316,-117.153925,32.709434,60730051002,4,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,7,995,5,2,995,995,995,134.735421,133
1027,22046228,-117.16958,32.71512,1,60730054002,60730054023,6073,6,7316,7316,-117.169299,32.714653,60730054002,2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,7,995,5,1,995,995,995,67.456472,135
1263,22056006,-117.16958,32.71512,1,60730054002,60730054023,6073,6,7316,7316,-117.169299,32.714653,60730054002,2,1,1,0,0,0,0,1,0,0,0,2,2,0,0,1,1,1,7,995,5,1,1,0,0,82.383569,135
2594,22117562,-117.07161,32.69151,1,60730031132,60730031132,6073,6,7318,7318,<Null>,<Null>,<Null>,5,3,5,2,1,1,1,1,1,1,1,2,2,0,1,1,3,0,1,995,1,1,995,995,995,27.995708,151
1245,22055189,-117.25184,32.77246,1,60730076002,60730076021,6073,6,7310,7310,-117.25207,32.772549,60730076002,2,9,4,2,1,0,1,1,1,1,1,2,2,0,0,2,2,2,8,995,1,2,1,0,0,260.096257,153
2181,22101970,-117.03343,32.74122,1,60730144001,60730144001,6073,6,7319,7319,-117.033271,32.741677,60730144001,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,4,995,4,2,995,995,995,6.681646,161
2365,22110271,-117.03273,32.74129,1,60730144001,60730144001,6073,6,7319,7319,-117.032169,32.741345,60730144001,4,3,4,2,0,1,1,1,1,1,1,2,2,0,0,2,1,0,3,995,6,2,995,995,995,6.475074,161
1465,22066422,-117.1599,32.71915,1,60730053001,60730053011,6073,6,7316,7316,-117.160161,32.718934,60730053001,3,9,4,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,995,6,2,995,995,995,178.46426,162
929,22042399,-117.08729,33.00203,1,60730170322,60730170691,6073,6,7309,7309,-117.087133,33.001867,60730170322,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1,3,995,1,1,1,0,0,42.250379,166
1756,22080833,-117.24605,32.72212,1,60730072001,60730072001,6073,6,7310,7310,-117.24581,32.722227,60730072001,3,9,1,0,0,0,1,0,0,0,0,3,2,1,0,2,2,1,9,995,1,1,1,0,0,549.996911,170
178,22007453,-116.96505,32.63881,1,60730133111,60730133162,6073,6,7320,7320,-116.964818,32.638891,60730133111,1,9,1,0,0,0,1,0,0,0,0,4,2,2,0,1,1,0,2,995,1,2,995,995,995,4785.407798,171
1143,22051247,-117.16695,32.72315,1,60730058001,60730058012,6073,6,7316,7316,-117.166944,32.72301,60730058001,2,9,5,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,8,995,4,2,1,0,0,122.675556,186
