,veh_make_other,vehicle_model,vehicle_year,weight_class_cvm,vehicle_classification,vehicle_weight
0,Ford,TRANSIT,2020,LHD,3,9999998
1,Ford,TRANSIT,2020,LHD,3,9999998
2,Ford,TRANSIT,2020,LHD,3,9999998
3,Ford,TRANSIT,2020,LHD,3,9999998
4,Ford,TRANSIT,2020,LHD,3,9999998
5,Ford,TRANSIT,2020,LHD,3,9999998
6,Ford,TRANSIT,2020,LHD,3,9999998
7,Ford,RANGER,2020,DA,2,6050
8,Ford,F150,2020,DA,2,7010
9,Ford,Maverick,2022,DA,2,9999998
10,DODGE,Sprinter,2006,LHD,3,9999998
11,DODGE,Sprinter,2006,LHD,3,9999998
12,DODGE,Sprinter,2006,LHD,3,9999998
13,Chevrolet,C 4500,2007,LHD,6,9999998
14,Chevrolet,SUBURBAN,1999,DA,1,9999998
15,Chevrolet,SUBURBAN,1999,DA,1,9999998
16,Ford,F450 Super Duty Flatbed,2004,LHD,5,9999998
17,International,Box,2016,HHD,6,9999998
18,International,Box,2018,HHD,6,9999998
19,International,Box,2016,HHD,6,9999998
20,Ford,F-150,2017,DA,2,9999998
21,Ford,f150,2017,DA,2,9999998
22,Freightliner,Box,2018,MHD,5,9999998
23,International,Stake,2018,MHD,5,9999998
24,Peterbilt,Tanker,2015,HHD,8,9999998
25,Kenworth,m2,2015,HHD,8,9999998
26,Kenworth,Tanker,2016,HHD,8,9999998
27,Kenworth,tanker,2016,HHD,8,9999998
28,Kenworth,Tanker,2016,HHD,8,9999998
29,Kenworth,tanker,2016,HHD,8,9999998
30,Ford,F250,2018,LHD,2,9999998
31,Ford,E-150,2016,DA,2,9999998
32,Ford,F150,2016,DA,2,9999998
33,TOYOTA,CAMRY,2016,DA,1,7900
34,Isuzu,NPR,2019,MHD,5,9999998
35,Chevrolet,3500 EXPRESS BOX TRUCK,2021,LHD,5,9999998
36,TOYOTA,Tacoma,2014,DA,2,7100
37,Hyundai,Santa Fe,2016,DA,1,5137
38,Chevrolet,SILVERADO,2021,DA,2,7100
39,Ford,E350,2016,LHD,3,8500
40,Ford,F650 FLATBED,2021,MHD,6,20500
41,Ford,F750,2021,MHD,5,37000
42,Chevrolet,2500 HD PICKUP,2004,LHD,2,10850
43,Ford,Bronco,2014,DA,1,4630
44,TOYOTA,Tacoma,2017,DA,2,5600
45,Ford,F150,2005,DA,2,7010
46,Kia,Solento ,2012,DA,1,5468
47,Volkswagen,BEETLE,2006,DA,1,9999998
48,Jeep,CHEROKEE,2015,DA,1,5900
49,Tesla,Model Y,2020,DA,1,4280
50,Ford,Mach-E,2021,DA,1,5011
51,Nissan,Rogue,2019,DA,1,4685
52,Lexus,NX,2022,DA,1,4900
53,MAZDA,TX3,2019,DA,1,3500
54,Ford,E250 ECONOLINE 2WD,2003,LHD,3,6500
55,Lexus,RX300,2000,DA,1,4950
56,TOYOTA,COROLLA,2014,DA,1,9999998
57,HONDA,Civic,2017,DA,1,2877
58,Ford,FIESTA,2016,DA,1,2700
59,Jeep,Commander,2007,DA,1,6500
60,Nissan,Altima,2009,DA,1,4482
61,Lexus,RX,2013,DA,1,4010
62,Ford,E250 ECONOLINE 2WD,2003,LHD,3,6980
63,HONDA,Fit,2011,DA,1,2568
64,Nissan,Rogue,2013,DA,1,4619
65,Hyundai,Kona,2020,DA,1,5200
66,Ford,F150,2014,DA,2,7010
67,TOYOTA,PRIUS,2011,DA,1,3000
68,Ford,F250,2014,LHD,2,12500
69,Ford,F250,2014,LHD,2,12500
70,Ford,F250,2016,LHD,2,12500
71,Ford,f150,2015,DA,2,7090
72,Ford,f150,2016,DA,2,7090
73,Ford,f150,2016,DA,2,7090
74,Ford,f150,2017,DA,2,7090
75,Ford,f150,2018,DA,2,7090
76,Ford,f150,2016,DA,2,7090
77,Ford,E-150,2017,DA,2,8600
78,Chevrolet,SILVERADO 2500 PU,2008,LHD,2,10850
79,Chevrolet,SILVERADO 2500 HD 2WD,2016,LHD,2,9050
80,Chevrolet,SILVERADO 2500 HD 2WD,2019,LHD,2,8000
81,Chevrolet,SILVERADO 2500 HD 2WD,2019,LHD,2,8000
82,Ford,Bronco,2006,DA,1,7010
83,Ford,F150 XL Super Cab,2006,DA,2,7010
84,Ford,F250 XL Super Cab,2008,LHD,2,7010
85,International,4400,2009,MHD,8,23500
86,Ford,F350 BOX TRUCK,2010,LHD,5,12500
87,Ford,F550 XL Reg Chassis Cab,2017,LHD,5,16001
88,Ford,F150 XL Super Cab,2018,DA,2,7010
89,Ford,F550 XL Reg Cab,2019,LHD,5,16001
90,Freightliner,108SD,2020,HHD,8,69000
91,Ford,F150 XL SC,2022,DA,2,7010
92,Volkswagen,Atlas,2018,DA,1,6019
93,Chevrolet,SILVERADO 1500,2002,DA,2,6700
94,Ford,Suburban,2006,DA,1,10000
95,Ford,F250 xlt,1997,LHD,2,10000
96,Ford,Suburban,2009,DA,1,12500
97,Ford,F-250,2020,LHD,2,10900
98,Chevrolet,2500,2018,LHD,2,8000
99,Chevrolet,2500,2019,LHD,2,8000
100,Chevrolet,2500,2013,LHD,2,8010
101,Chevrolet,3500 EXPRESS BOX TRUCK,2018,LHD,5,7000
102,Chevrolet,3500 EXPRESS BOX TRUCK,2015,LHD,5,11500
103,Ford,F750,2013,MHD,5,20500
104,Ford,F350 Flatbed,2017,LHD,5,12400
105,Freightliner,M2 DUMP TRUCK,2018,MHD,6,19800
